title,genre,rating,size,release_year,platform,description,cover_image_url,video_url,screenshot
3D Billiards: Billiards and Snooker,"[""Sports"", ""Simulation""]",6.2,1.2,2016,PS4,Simulasi bermain biliar dengan mode snooker dan pool.,"https://s.pacn.ws/1/p/ue/3d-billiards-billiards-snooker-547309.1.jpg?v=ozftpc&width=800&crop=1208,1500",,
Angry Birds Star Wars,"[""Puzzle"", ""Action""]",7.5,2.8,2012,PS4,Perpaduan Angry Birds dan tema Star Wars dengan level unik.,https://romsfun.com/wp-content/uploads/2021/04/1619101977-29e203cd-130c-4c0c-8128-ea28e6c27d91.jpg,,
Assassins Creed Odyssey Ultimate Edition,"[""Action"", ""RPG"", ""Open World""]",9.1,50,2018,PS4,"Dalam “Assassin's Creed Odyssey”, Anda akan terhanyut dalam peristiwa sejarah para pahlawan Spartan yang legendaris. Untuk menciptakan takdir Anda di dunia yang tandus dan penuh dengan penjajah, Anda akan merasakan apa itu perang. Saat memasuki permainan, Anda akan memilih pahlawan yang ingin Anda perankan untuk memimpin mereka melalui peperangan guna menghancurkan musuh yang menyerang. Setiap keputusan yang Anda buat dan setiap hubungan yang Anda miliki akan menentukan nasib Anda dalam permainan. Berlatar di Yunani kuno, Anda akan dilengkapi dengan senjata seperti prajurit kuno dengan baju besi legendaris. Pemain akan mengarahkan karakter ke lokasi yang belum ditemukan untuk berburu harta karun tersembunyi dan melawan rombongan bajak laut yang mengintai Anda di sekitar area permainan. “Assassin's Creed Odyssey” akan membawa Anda untuk menghadapi ratusan warga Athena dengan tujuan menghancurkan Spartan seperti Anda. Permainan ini akan menampilkan pertarungan 150 lawan 150 prajurit dalam mode permainan yang terpasang di dalam game, seperti: Six Epic Episodes, The First Hidden Blade, dan Join Atlantis.",https://romsfun.com/wp-content/uploads/2019/11/assassins-creed-odyssey-ps4.jpg,,
Assassins Creed Origins,"[""Action"", ""RPG"", ""Open World""]",9,42.51,2017,PS4,"Jika berbicara tentang game aksi petualangan dari perusahaan game Ubisoft, kita mungkin langsung mengenal game paling menonjol dari perusahaan ini. Assassin's Creed adalah salah satu seri game aksi terpopuler Ubisoft di seluruh dunia. Salah satu seri yang wajib disebutkan adalah game “Assassin's Creed Origins”, penerus sempurna dari Assassin's Creed Syndicate 2015. “Assassin's Creed Origins” memulai debutnya pada tahun 2017 dengan latar waktu Mesir Kuno. Game ini berakar kuat pada konflik panjang antara Persaudaraan Assassin sejak awal seri aslinya. Memasuki game, pemain akan terlibat dalam misi target dengan tujuan utama menghancurkan musuh dan mengembangkan alur cerita. Karakter utama yang akan dikendalikan pemain bernama Bayek, mereka akan diizinkan untuk memindahkan karakter ke area permainan lain di peta game untuk mendapatkan poin pengalaman dan menjinakkan predator. Menemukan lokasi baru dan menyelesaikan misi sampingan tambahan selama permainan akan memberikan serangkaian poin pengalaman dan keterampilan baru yang dapat membuka senjata super.",https://romsfun.com/wp-content/uploads/2019/11/assassins-creed-origins-ps4.jpg,,
Assassins Creed Rogue Remastered,"[""Action"", ""Adventure""]",7.9,9.85,2018,PS4,Ikuti kisah Shay Cormac yang berkhianat dari Assassin.,https://romsfun.com/wp-content/uploads/2021/07/acrogue_ps4_2d_pegi-300x374-1.jpeg,,
Assassins Creed Valhalla,"[""Action"", ""RPG"", ""Open World""]",9.2,70,2020,PS4,"Assassin's Creed Valhalla adalah gim video role-playing aksi yang dikembangkan oleh Ubisoft Montreal dan diterbitkan oleh Ubisoft. Ini adalah seri utama kedua belas dan rilis kedua puluh dua dalam seri Assassin's Creed, dan penerus gim Assassin's Creed Odyssey tahun 2018. Berlatar tahun 873 M, gim ini menceritakan kisah fiksi selama invasi Viking ke Britania. Pemain mengendalikan Eivor, seorang perampok Viking yang terlibat dalam konflik antara Persaudaraan Assassin dan Ordo Templar. Gim ini dirilis pada 10 November 2020 untuk Microsoft Windows, PlayStation 4, Xbox One, Xbox Series X dan Series S, dan Stadia, sementara versi PlayStation 5 dirilis pada 12 November.",https://romsfun.com/wp-content/uploads/2021/04/1618735559-dc4a4333-3528-4108-9e30-39f5f8dae1ba.png,,
Attack on Titan 2 Final Battle,"[""Action"", ""Hack and Slash""]",8,28.23,2019,PS4,Bertarung melawan para Titan dengan 3D Maneuver Gear.,https://romsfun.com/wp-content/uploads/2023/12/Attack-on-Titan-2.jpg,,
Batman Return to Arkham,"[""Action"", ""Adventure""]",9,45,2016,PS4,"Tentunya para gamer sudah sangat familiar dengan nama Batman. Seperti yang dipikirkan banyak orang, ini adalah salah satu karakter legendaris yang tak tergantikan dalam game aksi-petualangan superhero. Puncaknya adalah perilisan seri game terpisah yang menyandang nama karakter tersebut. “Batman: Return to Arkham” adalah salah satu game yang dirilis di seluruh dunia yang memiliki basis penggemar terbesar karena popularitasnya. Game ini hanya membutuhkan ruang penyimpanan 47,26 GB untuk konsol game PlayStation 4, dengan kapasitas tersebut, sangat mudah untuk memiliki game terkenal seperti ini. Memasuki game, pemain pasti akan berubah menjadi Batman, seorang superhero kosmik dengan kekuatan super mutan. Pemain akan mengendalikan karakter untuk berpartisipasi dalam konfrontasi dengan para penjahat terkenal untuk mengungkap kejahatan mereka dan melindungi orang-orang yang tidak bersalah. Dengan jubah yang terpasang pada kostum karakter game, pemain dapat mengendalikan Batman melayang di udara seperti kelelawar yang bersembunyi di kegelapan untuk melancarkan serangan diam-diam pada target dalam misi.",https://romsfun.com/wp-content/uploads/2019/11/Return-to-Arkham-ps4.jpg,,
Battlefield 1,"[""FPS"", ""War""]",8.8,41.91,2016,PS4,"Salah satu game aksi tembak-menembak terbaik di PlayStation 4 saat ini adalah seri “Battlefield 1”. Ini adalah salah satu game yang dikembangkan berdasarkan perang berdarah sehingga pemain memiliki pengalaman yang sangat menarik. Dalam “Battlefield 1”, pemain akan memulai petualangan di dunia baru yang penuh intrik dan bom. Mereka akan dipandu ke dalam sistem permainan dengan perlengkapan senjata superior untuk setiap prajurit. Pemain memiliki pilihan untuk bermain sendirian atau menjelajahi sudut-sudut area permainan dengan mode multipemain daring. Dalam mode multipemain, mereka akan berpartisipasi dalam kampanye dengan hingga 64 peserta. Terdiri dari kelompok infanteri darat, kelompok udara, dan kelompok laut, pemain akan didukung dengan senjata yang sesuai dengan medan pertempuran yang mereka ikuti, seperti tank, pesawat terbang, atau kapal perang. Tugas pemain adalah untuk sangat berhati-hati dalam posisi di sekitar musuh untuk menghancurkan mereka dalam jangkauan tempur mereka. Setiap target yang dikalahkan, pemain akan mendapatkan poin pengalaman dan koin emas untuk membantu pemain bermain hingga akhir kampanye.",https://romsfun.com/wp-content/uploads/2019/11/battlefield-1-ps4-wikig.png,,
Battlefield 4,"[""FPS"", ""Action""]",8.5,40,2013,PS4,"TERJEBAK DALAM KONFLIK GLOBAL Battlefield 4 menempatkan Anda sebagai Sersan Marinir AS Daniel Recker, anggota regu Tombstone. Dengan latar belakang konflik global antara AS, Rusia, dan Tiongkok, Anda akan terlibat dalam pertempuran darat dan dengan mengoperasikan unit darat, laut, dan udara. Untungnya, Anda tidak sendirian dalam perjuangan Anda di medan perang. Ikatan dengan rekan satu tim Anda akan semakin kuat saat Anda menghadapi berbagai macam bahaya. Jangan mengecewakan regu Anda; mereka mengandalkan Anda sama seperti Anda membutuhkan mereka untuk bertahan hidup. Di Battlefield 4, Anda akan terlibat dalam pertempuran jarak dekat berbasis regu dan dalam pertempuran besar dengan mengendalikan tank, jip, jet, helikopter, dan unit angkatan laut. Manfaatkan gadget berteknologi tinggi, berbagai macam senjata, dan lingkungan dinamis itu sendiri saat cerita klimaks berlangsung. Battlefield 4 membawa pertempuran ke banyak lingkungan perkotaan seperti pinggiran Baku dan gedung pencakar langit Shanghai, yang semuanya menjadi arena bermain yang eksplosif dan dinamis bagi Regu Tombstone. Baik Anda mengarungi ombak Laut Cina Selatan atau melintasi Sungai Huangpu yang ikonik di Shanghai, peperangan laut merupakan inti dari kampanye pemain tunggal Battlefield 4. Bertempur di medan perang yang luas, kawasan industri besar, atau di wilayah udara musuh. Tidak ada yang dapat menandingi skala dan cakupan Battlefield 4.",https://romsfun.com/wp-content/uploads/2023/06/Elden-Ring-Premernoe-izdanie.jpg,,
